id,last_scraped,source,host_id,host_since,host_location,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
6422,9/15/2022,city scrape,12172,4/3/2009,"Nashville, TN",f,1,1,t,t,"Nashville, Tennessee, United States",District 6,,36.17315,-86.73581,Private room in home,Private room,2,,1 private bath,2,3,$40.00 ,30,365,30,30,365,365,30,365,,t,0,0,0,257,9/15/2022,674,0,0,4/30/2009,3/3/2020,4.95,4.94,4.96,4.97,4.96,4.92,4.98,,f,1,0,1,0,4.14
39870,9/15/2022,city scrape,171184,7/18/2010,"Nashville, TN",t,2,2,t,t,"Nashville, Tennessee, United States",District 18,,36.12523,-86.81278,Private room in home,Private room,2,,1 private bath,1,1,$72.00 ,1,1125,1,1,1125,1125,1,1125,,t,5,19,40,134,9/15/2022,328,64,5,9/16/2016,9/11/2022,4.94,4.96,4.95,4.98,4.97,4.95,4.94,,f,2,0,2,0,4.49
59576,9/15/2022,city scrape,812128,7/12/2011,,f,19,26,t,t,"Nashville, Tennessee, United States",District 12,,36.18749,-86.59004,Private room in home,Private room,1,,1 private bath,1,1,$39.00 ,31,365,31,31,1125,1125,31,1125,,t,30,60,90,180,9/15/2022,1,1,0,6/26/2022,6/26/2022,4,5,2,5,5,5,5,,f,10,1,9,0,0.37
72906,9/15/2022,city scrape,176117,7/21/2010,"Nashville, TN",t,1,1,t,t,"Nashville, Tennessee, United States",District 18,,36.13122,-86.80066,Entire rental unit,Entire home/apt,2,,1 bath,2,2,$105.00 ,2,7,2,2,1125,1125,2,1125,,t,15,29,59,59,9/15/2022,658,56,5,6/9/2011,9/11/2022,4.91,4.9,4.81,4.98,4.99,4.96,4.89,,f,1,1,0,0,4.79
258817,9/15/2022,city scrape,22296,6/19/2009,"Nashville, TN",t,21,24,t,t,"Nashville, Tennessee, United States",District 12,,36.16249,-86.58988,Private room in home,Private room,2,,1 private bath,1,2,$39.00 ,30,365,30,30,365,365,30,365,,t,0,0,13,288,9/15/2022,96,0,0,12/12/2011,12/14/2019,4.77,4.81,4.4,4.92,4.9,4.74,4.73,,f,8,0,7,1,0.73
289242,9/15/2022,city scrape,22296,6/19/2009,"Nashville, TN",t,21,24,t,t,"Nashville, Tennessee, United States",District 12,,36.16102,-86.59207,Private room in home,Private room,1,,1 shared bath,1,3,$36.00 ,30,365,30,30,365,365,30,365,,t,0,29,59,334,9/15/2022,76,0,0,12/28/2011,1/12/2019,4.71,4.75,4.27,4.83,4.78,4.47,4.69,,f,8,0,7,1,0.58
319705,9/15/2022,city scrape,22296,6/19/2009,"Nashville, TN",t,21,24,t,t,"Nashville, Tennessee, United States",District 12,,36.16296,-86.59187,Private room in home,Private room,3,,1 private bath,1,5,$45.00 ,30,365,30,30,365,365,30,365,,t,0,19,49,324,9/15/2022,48,0,0,2/8/2012,7/3/2020,4.73,4.6,4.43,4.77,4.68,4.62,4.57,,f,8,0,7,1,0.37
329997,9/15/2022,city scrape,1684051,2/1/2012,"Nashville, TN",t,5,7,t,t,"Nashville, Tennessee, United States",District 19,,36.1758,-86.7995,Entire guesthouse,Entire home/apt,2,,1 bath,1,1,$111.00 ,2,30,1,4,7,1125,2.3,1102.2,,t,4,13,37,127,9/15/2022,1197,110,9,2/20/2012,9/11/2022,4.89,4.92,4.93,4.94,4.94,4.58,4.88,,t,5,5,0,0,9.3
340081,9/15/2022,city scrape,22296,6/19/2009,"Nashville, TN",t,21,24,t,t,"Nashville, Tennessee, United States",District 12,,36.16128,-86.58986,Private room in home,Private room,3,,1 shared bath,1,3,$31.00 ,30,365,30,30,365,365,30,365,,t,0,13,43,318,9/15/2022,77,0,0,2/24/2012,8/31/2020,4.84,4.75,4.5,4.88,4.96,4.63,4.87,,f,8,0,7,1,0.6
395889,9/15/2022,city scrape,1547584,12/29/2011,"Nashville, TN",t,1,1,t,t,"Nashville, Tennessee, United States",District 6,,36.16492,-86.7501,Private room in home,Private room,2,,1 private bath,1,1,$95.00 ,1,7,1,3,7,7,1,7,,t,7,20,43,293,9/15/2022,294,38,3,6/12/2012,8/28/2022,4.86,4.95,4.93,4.96,4.96,4.69,4.81,,f,1,0,1,0,2.35
