id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6422,Nashville Charm,12172,Michele,,District 6,36.17315,-86.73581,Private room,40,30,674,2020-03-03,4.14,1,257,0,
39870,Close to Vanderbilt 2,171184,Evelyn,,District 18,36.12523,-86.81278,Private room,72,1,328,2022-09-11,4.49,2,134,64,
59576,Large Master Suite near Lake *ladies only NS plz,812128,Patricia And John,,District 12,36.18749,-86.59004,Private room,39,31,1,2022-06-26,0.37,10,180,1,
72906,Vandy/Belmont/10 mins to Broadway - Sunny 800 sqft,176117,Richard,,District 18,36.13122,-86.80066,Entire home/apt,105,2,658,2022-09-11,4.79,1,59,56,
258817,"ButterflyRoom-queen room, private bath",22296,Diana,,District 12,36.16249,-86.58988,Private room,39,30,96,2019-12-14,0.73,8,288,0,
289242,"MorningstarHouse, monthly room- open Aug 19",22296,Diana,,District 12,36.16102,-86.59207,Private room,36,30,76,2019-01-12,0.58,8,334,0,
319705,"SuperSweetSTUDIO, jacuzzi, monthly, open Sept 1…",22296,Diana,,District 12,36.16296,-86.59187,Private room,45,30,48,2020-07-03,0.37,8,324,0,
329997,A+ Cottage & private courtyard! 5 mins to Downtown,1684051,Rick,,District 19,36.1758,-86.7995,Entire home/apt,111,2,1197,2022-09-11,9.30,5,127,110,
340081,"MorningstarHouse, monthly single room- open SOON!",22296,Diana,,District 12,36.16128,-86.58986,Private room,31,30,77,2020-08-31,0.60,8,318,0,
395889,Contemporary-Mod Paradise w/ Private Bathroom,1547584,Kurt,,District 6,36.16492,-86.7501,Private room,95,1,294,2022-08-28,2.35,1,293,38,
421290,Private Entry Studio Suite/King/Wetbar/DT 5 min,1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,106,2,948,2022-09-13,7.58,5,23,74,
431258,"5 MIN TO DT! 2 Bdrm, 2.5 Baths Hot tub & Patio!",1684051,Rick,,District 19,36.1758,-86.7995,Entire home/apt,302,2,472,2022-09-12,3.76,5,282,37,
513664,Cozy and Convenient in Donelson!,2530554,Lori,,District 14,36.15478,-86.64912,Private room,90,2,27,2015-06-29,0.23,1,257,0,
632636,Admire the Skyline from the Rooftop Terrace at a Chic Suite,1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,173,2,401,2022-09-08,3.26,5,20,54,
645985,Serenity Haven,1515903,Karen,,District 6,36.18565,-86.71511,Private room,30,30,51,2022-02-25,0.42,2,250,2,
648088,Heart of Music Row  Private Suite (600 sq FT),3250769,Robyn,,District 19,36.1447,-86.79014,Private room,142,2,426,2022-09-11,3.50,1,322,31,
674159,"A Clean, Quiet Suite in a Great Neighborhood",3422455,John,,District 6,36.17242,-86.73742,Entire home/apt,148,3,303,2022-08-29,2.56,1,312,25,
681880,Luxurious Rustic Cozy Guesthouse,3471162,Tiffany,,District 7,36.21628,-86.70935,Entire home/apt,89,1,575,2022-05-01,4.75,1,41,15,
747429,Downtown Great Getaway,2066370,Lisa,,District 21,36.18276,-86.80296,Entire home/apt,350,2,63,2022-08-14,0.53,2,231,1,
859206,Private Entrance Suite Vandy/Belmnt,1924504,Anne,,District 18,36.12826,-86.79991,Private room,120,2,122,2022-07-31,1.04,1,0,2,
914787,4 Beds *Walk to Downtown Nashville* Pool & Parking,4910520,Amy,,District 19,36.1754,-86.78193,Entire home/apt,242,1,328,2022-09-05,2.83,14,311,55,
980344,Downstairs/Midweek only Designer Home n Music City,441439,Angela,,District 24,36.144,-86.82827,Private room,250,2,1,2018-03-21,0.02,4,47,0,
1006989,Private Carriage House,1896384,John And Mike,,District 6,36.17509,-86.73581,Entire home/apt,91,2,537,2022-09-09,4.66,1,82,54,
1009550,The Fab GuesT QuarTers Suite,5554006,Jacque,,District 7,36.21235,-86.70461,Entire home/apt,108,3,225,2022-09-04,1.96,1,38,13,
1209395,Music Row Midtown Apartment,6604593,Michael,,District 19,36.14883,-86.79629,Entire home/apt,114,3,204,2022-09-12,1.89,1,298,28,
1300670,Valentino's Retreat,119023,Dana,,District 10,36.32114,-86.72644,Entire home/apt,135,2,88,2022-08-28,0.79,1,285,30,
1428018,Take Time out by the Private Lake at Our Urban Oasis,7679962,Cathryne & David,,District 6,36.17574,-86.72014,Private room,130,2,295,2022-09-12,2.67,1,337,19,
1468175,"Walk to Vandy, Downtown & Music Row - FREE SHUTTLE",7720839,Michelle,,District 19,36.14901,-86.78818,Private room,82,14,140,2018-05-20,1.27,4,0,0,
1469884,Walk to The Gulch -FREE SHUTTLE BUS,7720839,Michelle,,District 17,36.14584,-86.78634,Private room,71,1,76,2017-11-12,0.69,4,0,0,
1537921,Truly Central Private Cottage,113637,Cynthia,,District 6,36.16794,-86.73759,Entire home/apt,119,2,256,2022-08-14,2.33,1,325,34,
1546787,Cozy Guesthouse in 12S Neighborhood,6855810,UrbanNashville,,District 18,36.12903,-86.79336,Entire home/apt,106,2,454,2022-09-12,4.35,86,150,67,
1557535,ULITIMATE GIRLS WEEKEND!!! 10 MIN. TO DOWNTOWN!!!!,8291189,John,,District 7,36.22637,-86.70969,Entire home/apt,699,3,76,2022-08-29,0.71,1,284,4,
